X1,lastName,firstName,Date,Period,School,Sport,proportion_male,proportion_female,gender
546,Boals,Jeff,2018-2019,Apr 2016 - Apr 2019 ,Stony Brook University ,Men's Basketball ,0.9977,0.0023,male
547,Boals,Jeff,2018-2019,Apr 2019 -  ,Ohio University ,Men's Basketball ,0.9977,0.0023,male
548,Boateng,Sammy,2018-2019,Aug 2019 -  ,Western Michigan University ,Women's Soccer ,0.9683,0.0317,male
549,Bobb,David,2018-2019,Aug 2003 -  ,"University of Maryland, Baltimore County ","Men's Track, Indoor ",0.9963,0.0037,male
550,Bobb,David,2018-2019,Aug 2003 -  ,"University of Maryland, Baltimore County ","Women's Track, Outdoor ",0.9963,0.0037,male
551,Bobb,David,2018-2019,Aug 2003 -  ,"University of Maryland, Baltimore County ","Women's Track, Indoor ",0.9963,0.0037,male
552,Bobb,David,2018-2019,Aug 2003 -  ,"University of Maryland, Baltimore County ","Men's Track, Outdoor ",0.9963,0.0037,male
553,Bobo,Mike,2018-2019,Jan 2015 - Jan 2020 ,Colorado State University ,Football ,0.9966,0.0034,male
554,Bocanegra,Diego,2018-2019,Jan 2017 -  ,University of Houston ,Women's Soccer ,0.9977,0.0023,male
555,Bochette,Nicholas,2018-2019,Apr 2017 - Feb 2020 ,University at Albany ,Women's Soccer ,0.9963,0.0037,male
556,Bocock,Kathy,2018-2019,Jul 2012 -  ,Elon University ,Softball ,0.0021,0.9979,female
557,Bodnar,Chad,2018-2019,Feb 2014 -  ,Eastern Washington University ,Women's Soccer ,0.9954,0.0046,male
558,Boe-Wiegaard,William,2018-2019,Oct 2017 -  ,Sacred Heart University ,Women's Tennis ,0.9962,0.0038,male
559,Boe-Wiegaard,William,2018-2019,Oct 2017 -  ,Sacred Heart University ,Men's Tennis ,0.9962,0.0038,male
560,Boeheim,Jim,2018-2019,Aug 1976 -  ,Syracuse University ,Men's Basketball ,0.9966,0.0034,male
561,Boetsch,John,2018-2019,Jul 2016 - Jun 2019 ,Clemson University ,Men's Tennis ,0.9961,0.0039,male
562,Bogusz,Ewa,2018-2019,Oct 2018 -  ,Northern Arizona University ,Women's Tennis ,0,1,female
563,Bogusz,Maciej,2018-2019,Aug 2017 - Oct 2018 ,Northern Arizona University ,Women's Tennis ,1,0,male
564,Bogusz,Maciej,2018-2019,Oct 2018 -  ,Northern Arizona University ,Men's Tennis ,1,0,male
565,Bohannon,Brad,2018-2019,Jun 2017 -  ,University of Alabama ,Baseball ,0.997,0.003,male
566,Bohannon,Brian,2018-2019,May 2013 -  ,Kennesaw State University ,Football ,0.9958,0.0042,male
567,Bohl,Craig,2018-2019,Jan 2014 -  ,University of Wyoming ,Football ,0.9964,0.0036,male
568,Bohn,Dennis,2018-2019,May 2001 -  ,Lafayette College ,Men's Soccer ,0.9956,0.0044,male
569,Bokker,Amy,2018-2019,Aug 2008 - Jul 2019 ,Stanford University ,Women's Lacrosse ,0.0026,0.9974,female
570,Bokker,Amy,2018-2019,Jul 2019 -  ,The Ohio State University ,Women's Lacrosse ,0.0026,0.9974,female
571,Boland,Brian,2018-2019,Jul 2018 - Sep 2020 ,Baylor University ,Men's Tennis ,0.9958,0.0042,male
572,Bolding,Mark,2018-2019,May 2019 -  ,Yale University ,Women's Ice Hockey ,0.9967,0.0033,male
573,Boldon,Bob,2018-2019,Apr 2013 -  ,Ohio University ,Women's Basketball ,0.9969,0.0031,male
574,Bollant,Matt,2018-2019,May 2017 -  ,Eastern Illinois University ,Women's Basketball ,0.9997,0.0003,male
575,Bolowich,Elmar,2018-2019,Apr 2011 - Dec 2018 ,Creighton University ,Men's Soccer ,1,0,male
576,Bolster,Jim,2018-2019,Aug 2003 -  ,Columbia University-Barnard College ,Men's Swimming and Diving ,0.9966,0.0034,male
577,Bolt,Will,2018-2019,Jul 2019 -  ,"University of Nebraska, Lincoln ",Baseball ,0.9924,0.0076,male
578,Bomar,Johnny,2018-2019,Sep 2011 -  ,Wofford College ,"Men's Track, Indoor ",0.9894,0.0106,male
579,Bomar,Johnny,2018-2019,Sep 2011 -  ,Wofford College ,"Women's Track, Indoor ",0.9894,0.0106,male
580,Bomar,Johnny,2018-2019,Sep 2011 -  ,Wofford College ,Women's Cross Country ,0.9894,0.0106,male
581,Bomar,Johnny,2018-2019,Sep 2011 -  ,Wofford College ,"Men's Track, Outdoor ",0.9894,0.0106,male
582,Bomar,Johnny,2018-2019,Sep 2011 -  ,Wofford College ,Men's Cross Country ,0.9894,0.0106,male
583,Bomar,Johnny,2018-2019,Sep 2011 -  ,Wofford College ,"Women's Track, Outdoor ",0.9894,0.0106,male
584,Bonamego,John,2018-2019,Feb 2015 - Feb 2019 ,Central Michigan University ,Football ,0.9961,0.0039,male
585,Bonanno,Ted,2018-2019,Aug 2004 -  ,Fordham University ,Women's Rowing ,0.9978,0.0022,male
586,Bond,Amy,2018-2019,Aug 2010 -  ,Florida State University ,Women's Golf ,0.0026,0.9974,female
587,Bonelli,Michael,2018-2019,Aug 2016 - Apr 2019 ,Virginia Military Institute ,Men's Soccer ,0.9947,0.0053,male
588,Bonewit-Cron,Hollie,2018-2019,Aug 2016 -  ,Miami University (Ohio) ,Men's Swimming and Diving ,0.0383,0.9617,female
589,Bonewit-Cron,Hollie,2018-2019,Aug 2016 -  ,Miami University (Ohio) ,Women's Swimming and Diving ,0.0383,0.9617,female
590,Bono,Chris,2018-2019,May 2018 -  ,University of Wisconsin-Madison ,Men's Wrestling ,0.8507,0.1493,male
591,Bonomo,Jeremy,2018-2019,Jul 2014 -  ,University of Wisconsin-Green Bay ,Men's Soccer ,0.9943,0.0057,male
592,Bonsey,Brandon,2018-2019,Aug 2016 -  ,Georgetown University ,Men's Cross Country ,0.9941,0.0059,male
593,Booker,Eric,2018-2019,Nov 2015 - Jun 2019 ,Florida Gulf Coast University ,Men's Golf ,0.9947,0.0053,male
594,Boone,Dana,2018-2019,Jul 2018 -  ,University of Central Florida ,"Women's Track, Outdoor ",0.2019,0.7981,female
595,Boone,Dana,2018-2019,Jul 2018 -  ,University of Central Florida ,Women's Cross Country ,0.2019,0.7981,female
596,Boone,Dana,2018-2019,Jul 2018 -  ,University of Central Florida ,"Women's Track, Indoor ",0.2019,0.7981,female
597,Booras,Mark,2018-2019,Jul 2008 -  ,Tulane University ,Men's Tennis ,0.9967,0.0033,male
598,Booth,Kirsten,2018-2019,Mar 2003 -  ,Creighton University ,Women's Volleyball ,0.0038,0.9962,female
599,Bordeau,Wendy,2018-2019,Aug 2017 - May 2020 ,Dartmouth College ,Women's Rowing ,0.0035,0.9965,female
600,Borek,Scott,2018-2019,May 2018 -  ,Merrimack College ,Men's Ice Hockey ,0.9964,0.0036,male
601,Borendame,Jimmy,2018-2019,Sep 2010 -  ,Middle Tennessee State University ,Men's Tennis ,0.9928,0.0072,male
602,Boretti,Brett,2018-2019,Aug 2005 -  ,Columbia University-Barnard College ,Baseball ,0.9786,0.0214,male
603,Bormet,Sean,2018-2019,May 2018 -  ,University of Michigan ,Men's Wrestling ,0.9925,0.0075,male
604,Borocz,Jennifer,2018-2019,Sep 2012 - Nov 2019 ,Jacksonville University ,Women's Golf ,0.0031,0.9969,female
605,Borrelli,Jason,2018-2019,Sep 2008 -  ,Stanford University ,Men's Wrestling ,0.9948,0.0052,male
606,Borrelli,Tom,2018-2019,Aug 2003 -  ,Central Michigan University ,Men's Wrestling ,0.9969,0.0031,male
607,Borseth,Kevin,2018-2019,May 2012 -  ,University of Wisconsin-Green Bay ,Women's Basketball ,0.9951,0.0049,male
608,Borshoff,Kyle,2018-2019,Apr 2018 -  ,Binghamton University ,Men's Wrestling ,0.9813,0.0187,male
609,Borst,Golda,2018-2019,Aug 2010 -  ,University of Kentucky ,Women's Golf ,0,1,female
610,Bos,Matt,2018-2019,Jul 2011 - Jul 2019 ,Indiana University-Purdue University Indianapolis ,Men's Swimming and Diving ,0.9997,0.0003,male
611,Bos,Matt,2018-2019,Jul 2011 - Jul 2019 ,Indiana University-Purdue University Indianapolis ,Women's Swimming and Diving ,0.9997,0.0003,male
612,Boss,Jake,2018-2019,Aug 2008 -  ,Michigan State University ,Baseball ,0.9979,0.0021,male
613,Boss,Terence,2018-2019,Apr 2018 -  ,Oregon State University ,Men's Soccer ,0.9945,0.0055,male
614,Boswell,Lyndsey,2018-2019,Jul 2009 -  ,High Point University ,Women's Lacrosse ,0.0022,0.9978,female
615,Botsford,Matt,2018-2019,Mar 2014 -  ,Florida Gulf Coast University ,Women's Volleyball ,0.9997,0.0003,male
616,Botsford,Matt,2018-2019,Mar 2014 - May 2020 ,Florida Gulf Coast University ,Women's Beach Volleyball ,0.9997,0.0003,male
617,Bottom,Mike,2018-2019,Aug 2008 -  ,University of Michigan ,Men's Swimming and Diving ,0.9966,0.0034,male
618,Bottom,Mike,2018-2019,Sep 2012 -  ,University of Michigan ,Women's Swimming and Diving ,0.9966,0.0034,male
619,Boulanger,Jim,2018-2019,Jul 1982 -  ,University of New Hampshire ,Men's Cross Country ,0.9966,0.0034,male
620,Boulanger,Jim,2018-2019,Jul 1982 -  ,University of New Hampshire ,"Men's Track, Outdoor ",0.9966,0.0034,male
621,Boulanger,Jim,2018-2019,Jul 1982 -  ,University of New Hampshire ,"Men's Track, Indoor ",0.9966,0.0034,male
622,Bovee,Jeff,2018-2019,Jul 2014 -  ,Illinois State University ,"Women's Track, Indoor ",0.9977,0.0023,male
623,Bovee,Jeff,2018-2019,Jul 2014 -  ,Illinois State University ,"Women's Track, Outdoor ",0.9977,0.0023,male
624,Bovee,Jeff,2018-2019,Aug 2006 -  ,Illinois State University ,Men's Cross Country ,0.9977,0.0023,male
625,Bovee,Jeff,2018-2019,Jul 2014 -  ,Illinois State University ,"Men's Track, Indoor ",0.9977,0.0023,male
626,Bovee,Jeff,2018-2019,Jul 2014 -  ,Illinois State University ,"Men's Track, Outdoor ",0.9977,0.0023,male
627,Bovee,Jeff,2018-2019,Aug 2006 -  ,Illinois State University ,Women's Cross Country ,0.9977,0.0023,male
628,Bowden,Daniel,2018-2019,Sep 2017 -  ,University of North Carolina Wilmington ,Men's Golf ,0.9954,0.0046,male
629,Bowden,Terry,2018-2019,Jan 2012 - Feb 2019 ,University of Akron ,Football ,0.8056,0.1944,male
630,Bowen,Craig,2018-2019,Dec 2016 - Oct 2018 ,Chicago State University ,Men's Golf ,0.9964,0.0036,male
631,Bowen,Danny,2018-2019,May 2018 -  ,New Mexico State University ,Women's Golf ,0.9944,0.0056,male
632,Bowen,Liam,2018-2019,Jun 2019 -  ,"University of Maryland, Baltimore County ",Baseball ,0.9981,0.0019,male
633,Bowers,Joanne,2018-2019,Sep 2018 -  ,San Jose State University ,Women's Gymnastics ,0.0023,0.9977,female
634,Bowman,Bob,2018-2019,May 2015 -  ,Arizona State University ,Men's Swimming and Diving ,0.9969,0.0031,male
635,Bowman,Bob,2018-2019,May 2015 -  ,Arizona State University ,Women's Swimming and Diving ,0.9969,0.0031,male
636,Boyce,Tim,2018-2019,Aug 2017 -  ,"University of Hawaii, Manoa ",Women's Cross Country ,0.9975,0.0025,male
637,Boyce,Tim,2018-2019,Aug 2017 -  ,"University of Hawaii, Manoa ","Women's Track, Outdoor ",0.9975,0.0025,male
638,Boyce,Tim,2018-2019,Aug 2017 -  ,"University of Hawaii, Manoa ","Women's Track, Indoor ",0.9975,0.0025,male
639,Boyer,Brian,2018-2019,Sep 1999 - Apr 2019 ,Arkansas State University ,Women's Basketball ,0.9958,0.0042,male
640,Boyer,Dallas,2018-2019,Mar 2018 -  ,Cleveland State University ,Women's Soccer ,0.8324,0.1676,male
641,Boykins,Michael,2018-2019,Aug 2013 -  ,Jackson State University ,Women's Bowling ,0.9947,0.0053,male
642,Boyle,Bill,2018-2019,Feb 2016 -  ,Niagara University ,Men's Soccer ,0.9971,0.0029,male
643,Boyle,Karen,2018-2019,Sep 1987 - Jul 2019 ,U.S. Naval Academy ,Women's Cross Country ,0.0026,0.9974,female
644,Boyle,Tad,2018-2019,May 2010 -  ,"University of Colorado, Boulder ",Men's Basketball ,1,0,male
645,Boynton,"Jr., Mike",2018-2019,Apr 2017 -  ,Oklahoma State University ,Men's Basketball ,NA,NA,male
646,Bozeman,Todd,2018-2019,Aug 2006 - Jun 2019 ,Morgan State University ,Men's Basketball ,0.996,0.004,male
647,Bozzella,Anthony J.,2018-2019,Apr 2013 -  ,Seton Hall University ,Women's Basketball ,NA,NA,male
648,Brace,Kerri,2018-2019,Sep 2017 -  ,Canisius College ,Women's Rowing ,0.0089,0.9911,female
649,Bracken,Jim,2018-2019,Aug 2003 -  ,"California State University, Northridge ",Men's Golf ,0.9966,0.0034,male
650,Bradbury,Mike,2018-2019,Apr 2016 -  ,University of New Mexico ,Women's Basketball ,0.9966,0.0034,male
651,Braddak,Iain,2018-2019,May 2018 - Mar 2020 ,University of Pennsylvania ,Women's Volleyball ,1,0,male
652,Bradford,Lissa,2018-2019,Jul 2001 - Oct 2020 ,Belmont University ,Women's Golf ,0,1,female
653,Bradley,Ange,2018-2019,Jan 2007 -  ,Syracuse University ,Field Hockey ,0.0163,0.9837,female
654,Bradley,Rob,2018-2019,Aug 2013 -  ,Purdue University ,Men's Golf ,1,0,male
655,Bradley,Scott,2018-2019,Jul 1997 -  ,Princeton University ,Baseball ,0.9964,0.0036,male
656,Bradley,Steven C.,2018-2019,Aug 2014 -  ,University of South Florida ,Men's Golf ,NA,NA,male
657,Brady,Sarah,2018-2019,Jan 2016 - Nov 2018 ,Iona College ,Women's Soccer ,0.0029,0.9971,female
658,Bragga,Matt,2018-2019,Jul 2018 -  ,Rice University ,Baseball ,0.9997,0.0003,male
659,Braica,Glenn,2018-2019,May 2010 -  ,St. Francis College Brooklyn ,Men's Basketball ,0.9933,0.0067,male
660,Brakel,Kamden,2018-2019,Aug 2015 -  ,"California State University, Sacramento ",Men's Golf ,0.9111,0.0889,male
661,Braman,Bob,2018-2019,Sep 2003 -  ,Florida State University ,"Women's Track, Outdoor ",0.9969,0.0031,male
662,Braman,Bob,2018-2019,Aug 2003 -  ,Florida State University ,"Men's Track, Outdoor ",0.9969,0.0031,male
663,Braman,Bob,2018-2019,Jul 2000 -  ,Florida State University ,Men's Cross Country ,0.9969,0.0031,male
664,Braman,Bob,2018-2019,Sep 2003 -  ,Florida State University ,"Women's Track, Indoor ",0.9969,0.0031,male
665,Braman,Bob,2018-2019,Aug 2003 -  ,Florida State University ,"Men's Track, Indoor ",0.9969,0.0031,male
666,Bramble,Todd,2018-2019,Apr 2015 -  ,George Mason University ,Women's Soccer ,0.996,0.004,male
667,Branch,Mark,2018-2019,Aug 2008 -  ,University of Wyoming ,Men's Wrestling ,0.9967,0.0033,male
668,Brand,Peter,2018-2019,Aug 2004 - Aug 2019 ,Harvard University ,Women's Fencing ,0.9966,0.0034,male
669,Brand,Peter,2018-2019,Aug 2004 - Aug 2019 ,Harvard University ,Men's Fencing ,0.9966,0.0034,male
670,Brand-Sias,Laura,2018-2019,Sep 2002 - Jul 2019 ,"Rutgers, The State University of New Jersey, New Brunswick ",Women's Lacrosse ,0.003,0.997,female
671,Brandes,Jeff,2018-2019,Mar 2016 -  ,"Fairleigh Dickinson University, Metropolitan Campus ",Men's Tennis ,0.9977,0.0023,male
672,Brandes,Jeff,2018-2019,Mar 2016 -  ,"Fairleigh Dickinson University, Metropolitan Campus ",Women's Tennis ,0.9977,0.0023,male
673,Brandi,Andres,2018-2019,Jul 2017 -  ,Louisiana State University ,Men's Tennis ,0.9936,0.0064,male
674,Brandi,Christopher,2018-2019,Jul 2017 -  ,Louisiana State University ,Men's Tennis ,0.995,0.005,male
675,Brands,Tom,2018-2019,May 2006 -  ,University of Iowa ,Men's Wrestling ,0.9969,0.0031,male
676,Brannen,John,2018-2019,Jul 2015 - May 2019 ,Northern Kentucky University ,Men's Basketball ,0.9961,0.0039,male
677,Brannen,John,2018-2019,May 2019 -  ,University of Cincinnati ,Men's Basketball ,0.9961,0.0039,male
678,Brateanu,Roeland,2018-2019,Aug 2014 -  ,University of Utah ,Men's Tennis ,NA,NA,male
679,Bratton,Alan,2018-2019,Jul 2013 -  ,Oklahoma State University ,Men's Golf ,0.9968,0.0032,male
680,Braun,Adam,2018-2019,Aug 2014 - Aug 2020 ,Drexel University ,Men's Swimming and Diving ,0.9959,0.0041,male
681,Braun,Adam,2018-2019,Aug 2014 - Aug 2020 ,Drexel University ,Women's Swimming and Diving ,0.9959,0.0041,male
682,Brawn,Kathy,2018-2019,Jun 2003 - Feb 2020 ,Colgate University ,Women's Soccer ,0.0021,0.9979,female
683,Bray,Adam,2018-2019,Mar 2019 -  ,Kennesaw State University ,Women's Cross Country ,0.9959,0.0041,male
684,Bray,Adam,2018-2019,Mar 2019 -  ,Kennesaw State University ,Men's Cross Country ,0.9959,0.0041,male
685,Bray,Brendon,2018-2019,Aug 2016 -  ,"University of Nevada, Reno ",Women's Swimming and Diving ,0.9988,0.0012,male
686,Brdarski,Svetozer,2018-2019,Mar 2013 -  ,St. Bonaventure University ,Women's Soccer ,NA,NA,male
687,Breaux,DD,2018-2019,Sep 1978 -  ,Louisiana State University ,Women's Gymnastics ,NA,NA,female
688,Brecht,Brian,2018-2019,Jul 2011 -  ,"Rutgers, The State University of New Jersey, New Brunswick ",Men's Lacrosse ,0.9958,0.0042,male
689,Bredbenner,Kristi,2018-2019,Jul 2011 -  ,Wichita State University ,Softball ,0.0017,0.9983,female
690,Breeden,Jeff,2018-2019,Aug 2012 -  ,Middle Tennessee State University ,Softball ,0.9977,0.0023,male
691,Brekke,Brent,2018-2019,Jun 2019 -  ,St. Lawrence University ,Men's Ice Hockey ,0.9956,0.0044,male
692,Breneman,Janelle,2018-2019,Aug 2012 -  ,The University of North Carolina at Greensboro ,Softball ,0.0016,0.9984,female
693,Brennan,Brent,2018-2019,Jan 2017 -  ,San Jose State University ,Football ,0.9956,0.0044,male
694,Brennan,Erika,2018-2019,Feb 2018 -  ,University of South Florida ,Women's Golf ,0.0042,0.9958,female
695,Brennan,Michael,2018-2019,Jun 2013 -  ,American University ,Men's Basketball ,0.9947,0.0053,male
696,Brent,Wayne,2018-2019,Jul 2013 -  ,Jackson State University ,Men's Basketball ,0.9959,0.0041,male
697,Brentlinger,Karli,2018-2019,Sep 2015 - Aug 2020 ,Howard University ,Women's Lacrosse ,0,1,female
698,Brereton,Debs,2018-2019,Feb 2019 -  ,Idaho State University ,Women's Soccer ,NA,NA,female
699,Brescher,Eddie,2018-2019,Sep 2018 -  ,The University of Southern Mississippi ,Men's Golf ,0.9532,0.0468,male
700,Breschi,Joe,2018-2019,Aug 2008 -  ,"University of North Carolina, Chapel Hill ",Men's Lacrosse ,0.9745,0.0255,male
701,Bresky,Anthony,2018-2019,Oct 2011 -  ,Wake Forest University ,Men's Tennis ,0.9946,0.0054,male
702,Bretscher,Andrew,2018-2019,Sep 2017 -  ,Virginia Military Institute ,Women's Swimming and Diving ,0.996,0.004,male
703,Bretscher,Andrew,2018-2019,Sep 2017 -  ,Virginia Military Institute ,Men's Swimming and Diving ,0.996,0.004,male
704,Brewer,Josh,2018-2019,Jul 2012 -  ,University of Georgia ,Women's Golf ,1,0,male
705,Brewer,Rob,2018-2019,Aug 1996 -  ,Missouri State University ,Women's Soccer ,1,0,male
706,Brewer,Will,2018-2019,Oct 2012 -  ,Lipscomb University ,Men's Golf ,0.9924,0.0076,male
707,Brewster,J. Travis,2018-2019,Aug 2012 - Apr 2020 ,University of North Dakota ,Women's Basketball ,NA,NA,male
708,Brey,Mike,2018-2019,Aug 2000 -  ,University of Notre Dame ,Men's Basketball ,0.9966,0.0034,male
709,Bria,Lynn,2018-2019,Jun 2008 -  ,Stetson University ,Women's Basketball ,0.187,0.813,female
710,Bricker,Jeff,2018-2019,Oct 2014 -  ,Fairfield University ,Women's Tennis ,0.9977,0.0023,male
711,Bricker,Jeff,2018-2019,Oct 2014 -  ,Fairfield University ,Men's Tennis ,0.9977,0.0023,male
712,Briggs,Shannon,2018-2019,Sep 2014 - Aug 2019 ,Longwood University ,Women's Golf ,0.1408,0.8592,female
713,Brink,Heather,2018-2019,Nov 2018 -  ,"University of Nebraska, Lincoln ",Women's Gymnastics ,0.0027,0.9973,female
714,Brinsmead,Rhyll,2018-2019,Jul 2007 - Mar 2021 ,Kennesaw State University ,Women's Golf ,NA,NA,female
715,Brito,Maria,2018-2019,Sep 2017 -  ,Tulane University ,Women's Tennis ,0.0072,0.9928,female
716,Britton,William,2018-2019,Aug 2019 -  ,Monmouth University ,Men's Golf ,NA,NA,male
717,Brizendine,Michael,2018-2019,Jul 2009 -  ,Virginia Polytechnic Institute and State University ,Men's Soccer ,0.9947,0.0053,male
718,Broadnax,Horace,2018-2019,Apr 2005 -  ,Savannah State University ,Men's Basketball ,0.9956,0.0044,male
719,Broadus,Kevin,2018-2019,Jun 2019 -  ,Morgan State University ,Men's Basketball ,0.9951,0.0049,male
720,Broadway,Kelly,2018-2019,May 2018 - Apr 2020 ,La Salle University ,Field Hockey ,0.1362,0.8638,female
721,Broady,Brittany,2018-2019,Aug 2017 -  ,"University of California, Davis ",Field Hockey ,0.0029,0.9971,female
722,Broce,Jamie,2018-2019,Aug 2017 -  ,Indiana University-Purdue University Indianapolis ,Men's Golf ,0.2295,0.7705,female
723,Broce,Jamie,2018-2019,Aug 2017 -  ,Indiana University-Purdue University Indianapolis ,Women's Golf ,0.2295,0.7705,female
724,Brochu,Nick,2018-2019,Aug 2007 -  ,University of South Alabama ,Men's Tennis ,0.998,0.002,male
725,Brock,Russell,2018-2019,Apr 2017 -  ,Louisiana State University ,Women's Beach Volleyball ,0.9954,0.0046,male
726,Brockbank,Bruce,2018-2019,May 1992 -  ,Brigham Young University ,Men's Golf ,0.9965,0.0035,male
727,Broderick,Brianna,2018-2019,Aug 2009 -  ,University of Missouri-Kansas City ,Women's Golf ,0.0016,0.9984,female
728,Brodhead,Garry,2018-2019,May 2012 -  ,University of Louisiana at Lafayette ,Women's Basketball ,0.996,0.004,male
729,Brohm,Jeff,2018-2019,Jan 2017 -  ,Purdue University ,Football ,0.9977,0.0023,male
730,Brokaw,Trey,2018-2019,Sep 2018 -  ,University of Akron ,Women's Cross Country ,0.997,0.003,male
731,Bronson,Jody,2018-2019,Sep 1985 -  ,Marquette University ,Women's Tennis ,0.3436,0.6564,female
732,Brooks,Bart,2018-2019,May 2017 -  ,Belmont University ,Women's Basketball ,0.9997,0.0003,male
733,Brooks,Chase,2018-2019,Mar 2013 -  ,Duquesne University ,Men's Soccer ,0.9759,0.0241,male
734,Brooks,Dan,2018-2019,Aug 1985 -  ,Duke University ,Women's Golf ,0.9954,0.0046,male
735,Brooks,Erin,2018-2019,Feb 2018 -  ,Saint Joseph's University ,Softball ,0.0267,0.9733,female
736,Brooks,John,2018-2019,May 2012 -  ,Brigham Young University ,Women's Swimming and Diving ,0.9961,0.0039,male
737,Brooks,John,2018-2019,May 2012 -  ,Brigham Young University ,Men's Swimming and Diving ,0.9961,0.0039,male
738,Brooks,Julie,2018-2019,Aug 2005 -  ,"University of California, Irvine ",Women's Golf ,0.0027,0.9973,female
739,Brooks,Kenny,2018-2019,Apr 2016 -  ,Virginia Polytechnic Institute and State University ,Women's Basketball ,0.9894,0.0106,male
740,Brothers,Matt,2018-2019,Oct 2007 -  ,DePaul University ,Men's Tennis ,0.9997,0.0003,male
741,Brouse,Devon,2018-2019,Aug 1998 -  ,Purdue University ,Women's Golf ,0.7645,0.2355,male
742,Brower Corbett,Karin,2018-2019,Aug 1999 -  ,University of Pennsylvania ,Women's Lacrosse ,0.0045,0.9955,female
743,Brown Lemm,Ginger,2018-2019,Aug 2010 - Jan 2021 ,Mississippi State University ,Women's Golf ,0.0009,0.9991,female
744,Brown Lipsitz,Blair,2018-2019,May 2015 - Jun 2019 ,"University at Buffalo, the State University of New York ",Women's Volleyball ,0.5032,0.4968,male
745,Brown,Billy,2018-2019,Aug 1981 -  ,George Mason University ,Baseball ,0.9881,0.0119,male
746,Brown,Casey,2018-2019,Feb 2016 - May 2020 ,College of the Holy Cross ,Women's Soccer ,0.575,0.425,male
747,Brown,Cassandra,2018-2019,Oct 2018 -  ,Alabama A&M University ,Softball ,0.0022,0.9978,female
748,Brown,Colin,2018-2019,Mar 2019 - Jul 2019 ,Southern Utah University ,Men's Tennis ,0.996,0.004,male
749,Brown,Dawn,2018-2019,Jul 2019 -  ,"University of Arkansas, Pine Bluff ",Women's Basketball ,0.0033,0.9967,female
750,Brown,Demian,2018-2019,Mar 2007 -  ,"California State University, Fullerton ",Women's Soccer ,0.9896,0.0104,male
751,Brown,Derrick,2018-2019,Aug 2009 -  ,Southern Illinois University Edwardsville ,Men's Golf ,0.9924,0.0076,male
752,Brown,Greg,2018-2019,Jul 2012 - Apr 2019 ,Lipscomb University ,Women's Basketball ,0.998,0.002,male
753,Brown,Heather,2018-2019,Sep 2008 -  ,Appalachian State University ,Women's Golf ,0.0027,0.9973,female
754,Brown,Jason,2018-2019,Sep 2017 -  ,University of Montana ,Men's Tennis ,0.9948,0.0052,male
755,Brown,Jody,2018-2019,May 2016 -  ,North Carolina Central University ,Women's Volleyball ,0.3436,0.6564,female
756,Brown,Karen,2018-2019,Nov 2013 -  ,Florida A&M University ,Women's Bowling ,0.0026,0.9974,female
757,Brown,Mack,2018-2019,Mar 2019 -  ,"University of North Carolina, Chapel Hill ",Football ,0.9951,0.0049,male
758,Brown,Nathan,2018-2019,Feb 2018 -  ,University of Central Arkansas ,Football ,0.9964,0.0036,male
759,Brown,Neal,2018-2019,Feb 2019 -  ,West Virginia University ,Football ,0.9974,0.0026,male
760,Brown,Neal,2018-2019,Feb 2015 - Feb 2019 ,Troy University ,Football ,0.9974,0.0026,male
761,Brown,Polk,2018-2019,Aug 2011 -  ,Tennessee Technological University ,Men's Golf ,1,0,male
762,Brown,Polk,2018-2019,Aug 2011 -  ,Tennessee Technological University ,Women's Golf ,1,0,male
763,Brown,Ross,2018-2019,Sep 2012 -  ,Austin Peay State University ,Women's Tennis ,0.9955,0.0045,male
764,Brown,Ross,2018-2019,Sep 2012 -  ,Austin Peay State University ,Men's Tennis ,0.9955,0.0045,male
765,Brown,Ryan,2018-2019,Jun 2018 -  ,U.S. Air Force Academy ,Men's Water Polo ,0.9768,0.0232,male
766,Brown,Sarah,2018-2019,Jun 2017 -  ,Pennsylvania State University ,Women's Gymnastics ,0.0029,0.9971,female
767,Brown,Tod,2018-2019,Aug 2007 -  ,North Dakota State University ,Baseball ,1,0,male
768,Brown,Tom,2018-2019,Aug 2008 -  ,Sam Houston State University ,Women's Soccer ,0.9969,0.0031,male
769,Brown,Travis,2018-2019,Aug 2016 -  ,California Baptist University ,Men's Golf ,0.993,0.007,male
770,Brown,Valerie,2018-2019,Jul 2019 -  ,Austin Peay State University ,"Women's Track, Indoor ",0.0027,0.9973,female
771,Brown,Valerie,2018-2019,Jul 2019 -  ,Austin Peay State University ,"Women's Track, Outdoor ",0.0027,0.9973,female
772,Brown,Valerie,2018-2019,Jul 2019 -  ,Austin Peay State University ,Men's Cross Country ,0.0027,0.9973,female
773,Brown,Valerie,2018-2019,Jul 2019 -  ,Austin Peay State University ,Women's Cross Country ,0.0027,0.9973,female
774,Brown,Vicki,2018-2019,Jul 2019 -  ,University of Iowa ,Women's Volleyball ,0.0018,0.9982,female
775,Brown,Will,2018-2019,Oct 2001 - Apr 2021 ,University at Albany ,Men's Basketball ,0.9924,0.0076,male
776,Browne,Alicia,2018-2019,Sep 2014 -  ,St. Francis College Brooklyn ,Women's Tennis ,0.0031,0.9969,female
777,Browne,Nathan,2018-2019,Sep 2015 -  ,"University of California, Riverside ","Women's Track, Outdoor ",0.9964,0.0036,male
